token_id;token;res_1;res_2;res_3;res_4
330;"Ġ""";Ġ;'Ġ';01000011 01100001 0110100 00100000;(0, 1)
493;(';();You are a helpful assistant.'>')' to me?;00100000 00111000 00110011 00100001 00110000 00110100;The number of normal characters is 0 and the number of not normal characters is 1.
498;""",";",""";"""'""";01000010 01100001 01101110 01100001 00100000 0110010 0110011 0110100;(0, 2)
518;',;","" after me?";';01000011 0110010 01100001 0110011;(0, 4)
667;ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ;ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ;GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG;01000011 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001;(0, 36)
681;[';[];Yes, here is the string: '[]';11000010 01101001;(0, 1)
703;($;$;Sure, here's the string: '$<';01000000 00100000 01100001;(0, 1)
756;',Ċ;''Ċ'';'';00000000 00000000 11000011 1010000 1000001 1010001;(0, 1)
760;""">";>> after me;Sure, here's the string: '>;01000010 0110010 01101100 01101100;(0, 1)
792;ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ;ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ;GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG;01000011 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001;(0, 36)
948;].;.;'.';01011011;(0, 1)
976;Ġ!=;Ġ=<;Sure, the string is 'Ġ='.;01000011 01100001 01100100 0021;(0, 1)
1014;ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ;ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ;GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG;01000011 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001;(0, 36)
1025;"';Ċ";";Ċ'";Sure, the string is ''.Ċ';"0000000; 00000011 00010011 00011000 00010011 00000111";(0, 1)
1144;Ġ\;Ġ';Sure, the string is 'Ġ'.;01000011 01100010 01100101 0027;(0, 7)
1145;],;",""";]<>;01000010 0110010 0110110;(0, 1)
1151;=';=;Yes, here is the string: '=\<assistant\>';01000011 01100100 00100000 00100000 00100001;(0, 2)
1165;////////;///////;//;00010011 11100100 11111010 11110001 11111010 11110001;(0, 15)
1177;"');Ċ";");Ċ'";Sure, the returned string is '')Ċ'.;01000011 01110011 011110001 00100000 01000011 01110100 01101001;(0, 2)
1209;((;(;Sure, here's the string: '(<;01000011 0110010 0110011 0110110 0110010 0110011 0111101 00100000 0110010 0110011 0110110 0110010 0110011 0111101;(0, 1)
1298;rror;erro;erro;01010011 01101100 01101111 01101110;(0, 4)
1408;ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ;ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ;GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG;01000011 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001 01101001;(0, 36)
1430;eter;etter;Sure, the string is 'etter'.;01000111 01110100 01100001;(2, 0)
1433;ayout;outout;Sure, the string is 'output'.;01001000 01101111 01101110 01100100 01101110;(0, 4)
1449;"());Ċ";");Ċ";");Ċ";01001000 01100101 01101111 01110010 00100000 11000011 10100001 11000011 10100010;(0, 4)
1483;][;];[';0100100 0110010 0110110 0110010;(0, 1)
1535;(),;,;();01000011 0110010 0110110;(0, 1)
1583;Ġ/**Ċ;**Ċ**Ċ;'Ġ**Ċ';01000011 01101000 00101110 00110011 00110100 00110010;(0, 7)
1621;"Ġ""""";Ġ;"Sure, the string is ""Ġ""";01000011 01000100 00100000 01011000 00100000 01010011;(0, 2)
1865;""").";'.;""".";01010011 00100000;(0, 1)
